Tai yra tiesa.	That's true.
Mes amžinai būsime draugais.	We'll be friends forever.
Mūsų darbas yra beveik baigtas.	Our work is almost over.
Ne visi mėgsta tą knygą.	Not everyone likes that book.
Pabandyk dar kartą.	Try it once more.
Pasilik dar truputį.	Stay a little longer.
Šis šuo greitai bėga.	This dog runs fast.
Šitai atsitiko prieš tai kai aš gavau tavo laišką.	This happened prior to receiving your letter.
Tas vyras kurį tu vakar matei yra mano dėdė.	The man you saw yesterday is my uncle.
Tomas atrodo jaunas.	Tom looks young.
Tomas mirė mano rankose.	Tom died in my arms.
Tomas nebuvo pasirengęs mirti.	Tom wasn't ready to die.
Tomas ne mano tėvas. Jis mano dėdė.	Tom isn't my father. He's my uncle.
Tomas nėra keistas.	Tom isn't weird.
Tomas neturėjo pakankamai pinigų.	Tom didn't have enough money.
Tomas padarys gerą dalyką.	Tom will do the right thing.
Tu bijai mirties.	You are afraid of death.
Vakar gavau nuo jos laišką.	I had a letter from her yesterday.
Žmogaus kūnas yra 70% vanduo.	Man is 70% water.
Žmonės mėgsta kalbėti.	People love to talk.
Abu broliai yra vis dar gyvi.	Both brothers are still alive.
Ar manai, kad Tomas vis dar užsiėmęs?	Do you think that Tom is still busy?
Ar matai tą mažą namą?	Can you see that small house?
Ar padarei savo namų darbus pats?	Did you do your homework by yourself?
Ar šiuo metu esi užsiėmęs?	Are you busy at the moment?
Ar yra vietos dar vienam žmogui?	Is there space for one more person?
Aš čia truputį užsiėmęs, Tomai.	I'm a little busy here, Tom.
Aš laukiau dešimt minučių.	I waited for ten minutes.
Aš mačiau šunį.	I saw a dog.
Aš negaliu įsivaizduoti kad tu galėtum pasakyti tokius dalykus.	I can't imagine that you could say such things.
Aš nenoriu skaityti šios knygos.	I don't want to read this book.
Aš norėčiau keliauti aplink pasaulį.	I'd like to travel around the world.
Aš pamiršau kur yra mano mokykla.	I forgot where my school is.
Aš turiu atsakyti į šį laišką.	I have to answer his letter.
Aš turiu keletą gerų draugų.	I have several good friends.
Aš turiu žiedą.	I have a ring.
Ateisiu po dešimt minučių.	I'll join in ten minutes.
Atėjai pačiu laiku.	You came at just the right time.
Atidaryk burną!	Open your mouth!
Atleisk man, mano meile.	Forgive me, my love.
Bet jis žinojo kad jis neturėjo jokio pasirinkimo.	But he knew he had no choice.
Čia yra tas vyras kurio aš laukiau.	This is the man for whom I have been waiting.
Dievas padeda tiems, kurie patys sau padeda.	God helps those who help themselves.
Gavau laišką iš savo draugo.	I got a letter from my friend.
Iš jo dar nėra žinių.	I have had no news from him yet.
Jei nesi labai užsiėmęs, gal galėtum man vieną minutę padėti?	If you're not too busy, could you help me for just a minute?
Jie kalbėjo apie meilę.	They talked about love.
Jie kalbėjo visą naktį.	They went on talking all night.
Jie turi didelį namą.	They have a large house.
Ji kalbėjo taip, tarsi būtų mano mama.	She talked as if she were my mother.
Ji nori skaityti knygą.	She wants to read a book.
Ji paliko savo šunį mano kambaryje.	She left her dog in my room.
Jis mane nužudė vienu žodžiu.	He killed me with one word.
Jis moka skaityti mintis.	He can read thoughts.
Jis turi atsakyti į klausimą.	He needs to answer the question.
Jis yra labai svarbus žmogus.	He's a very important person.
Jų mokykla atrodo labai blogai.	Their school looks very bad.
Ką ji mano apie mano automobilį?	What does she think about my car?
Ką tu padarei su savo kamera?	What did you do with your camera?
Kokį maistą Tomas mėgsta?	What kind of food does Tom like?
Kokios muzikos turite?	What kind of music do you have?
Kuri moteris su tavimi kalbėjo?	Which woman was talking to you?
Mama sako kad aš kalbu per tyliai.	Mum says that I speak too quietly.
Man nereikia tavo leidimo.	I don't need your permission.
Mano tėvas yra užsiėmęs.	My father is busy.
Man reikia su tavim pasikalbėti akis į akį.	I need to talk to you in person.
Man trūksta žodžių.	I'm at a loss for words.
Man visai nepatinka mano plaukai.	I don't like my hair at all.
Mes turime skaityti šią knygą vėl ir vėl.	We must read this book again and again.
Mūsų mokykla yra miesto centre.	Our school is in the center of the town.
Negaliu įsivaizduoti gyvenimo be tavęs.	I can't imagine life without you.
Niekas nežino priežasties.	No one knows the reason.
Noriu susitikti su tavo tėvu.	I'd like to see your father.
Pakelk kairę ranką.	Raise your left hand.
Pakelk ranką.	Raise your hand.
Palik maistą ant stalo.	Leave the food on the table.
Palik mano automobilį ramybėje.	Leave my car alone.
Pasakyk tam žmogui kur yra mano namas.	Tell that person where my house is.
Pro langą pamačiau jo automobilį.	I saw a car through the window.
Saulė yra virš manęs.	The sun is above me.
Ši situacija yra juokinga.	This situation is funny.
Šis telefonas neveikia.	This telephone is out of order.
Štai namas, kuriame jis gyveno.	Here is the house where he lived.
Štai yra tas vyras kurio aš laukiau.	This is the man I've been waiting for.
Tačiau jis žinojo kad jis neturėjo jokio pasirinkimo.	But he knew he had no choice.
Tai vienintelė kamera kurią aš turiu.	This is the only camera I've got.
Tai yra tas vyras kurio aš visą savaitę laukiau.	That's the man I've been waiting for a week.
Tarp mūsų viskas baigta. Atiduok man mano žiedą!	It's over between us. Give me back my ring!
Tau nereikia mano leidimo.	You don't need my permission.
Tau reikia atsakyti į laišką.	You need not answer the letter.
Tavo planas atrodo geresnis nei mano.	Your plan seems better than mine.
Telefonas šiuo metu neveikia.	The phone doesn't work right now.
Tomas galvoja parduoti namą.	Tom is thinking of selling his house.
Tomas liks.	Tom'll stay.
Tomas negalėjo rasti priežasties kodėl jam reikėjo grįžti namo anksti.	Tom could think of no reason why he needed to go home early.
Tu esi pilna energijos.	You are full of energy.
Tu nužudei mano tėvą.	You killed my father.
Tu turėtum laikyti omeny tą ką aš tau pasakiau.	You should keep in mind what I told you.
Tu vis dar esi pilna energijos.	You are still full of energy.
Yra daug žodžių kurių nesuprantu.	There are many words that I don't understand.
Ar galėtum atidaryti langą?	Could you open the window?
Aš esu didvyris.	I'm a hero.
Aš galiu jums parodyti dokumentus.	I can show the documents to you.
Aš galiu parodyti jums nuotraukas.	I can show you the pictures.
Aš galiu parodyti tau nuotraukas.	I can show you the pictures.
Aš galiu tau parodyti dokumentus.	I can show the documents to you.
Aš kalbu angliškai kiekvieną dieną.	I speak English every day.
Aš myliu visus savo draugus.	I love my friends.
Aš netikiu Dievu.	I don't believe in God.
Aš noriu pasikalbėti su tavo dėde.	I want to talk with your uncle.
Aš paprasčiausiai neturiu laiko padaryti visko ką aš norėčiau padaryti.	I simply haven't the time to do everything I want to do.
Aš turiu ją išgelbėti bet kokia kaina.	I must save her at all costs.
Atsiprašau, ar galėtumėte atidaryti langą?	Excuse me, but would you please open the window?
Dabar gyvenu su savo dėde.	Now I live with my uncle.
Daviau jam tą truputį pinigų kuriuos turėjau su savimi.	I gave him what little money I had with me.
Gyvenimas prasideda tada kada tu esi pasiruošusi jį gyventi.	Life begins when you're ready to live it.
Ieškojau tokios merginos kaip tu.	I've been looking for a girl like you.
Išeik iš klasės.	Get out of the classroom.
Jaučiu kad Tomas greitai pasirodys.	I've got a feeling that Tom will show up soon.
Ji parašė naują knygą.	She wrote a new book.
Jis grįžta į tą vietą iš kurios tu atėjai.	He's returning to the place that you came from.
Jis turi didelę šeimą.	He's got a large family.
Kai aš žiūriu į šitą nuotrauką, aš prisimenu savo šeimą.	When I look of this photo I remember my family.
Kai kurie tiki Dievu, bet kiti ne.	Some believe in God, but others do not.
Kai kurie žmonės tiki Dievu, o kiti ne.	Some people believe in God and others don't.
Kažkas parašė savo vardą ant sienos.	Somebody wrote my name on the wall.
Kiek tu moki už butą?	How much rent do you pay for the apartment?
Knygos yra mano geriausi draugai.	Books are my best friends.
Kūdikis negali kalbėti.	The baby can't speak.
Lipk ant stogo.	Climb onto the roof.
Mano kūdikis nori kalbėti.	My baby wants to talk.
Mano namas neturi stogo.	My house doesn't have a roof.
Mes buvome geriausi draugai.	We used to be best friends.
Mes turėsime laukti penkias valandas.	We'll have to wait for five hours.
Miega kaip kūdikis.	He's sleeping like a baby.
Nebūk tokia rimta. Tai tik žaidimas.	Don't be so serious. It's only a game.
Prašau palauk penkias minutes.	Please wait five minutes.
Rytoj tėvas grįžta namo.	Father is coming home tomorrow.
Senelis kalba labai lėtai.	Grandfather speaks very slowly.
Sužinojau, kad kalbi man už nugaros.	I found out you talk behind my back.
Tai buvo melas.	This was a lie.
Tai buvo tik pokštas.	It was just a joke!
Tai yra mano likimas.	This is my destiny.
Tai yra mūsų likimas.	It's our destiny.
Tavo brolio šiandien nebuvo mokykloje.	Your brother wasn't at school today.
Tavo kelionė prasideda čia.	Your journey starts here.
Tokiu atveju, mes turime problemą...	In that case, we've got a problem...
Tomai, aš grįžau.	Tom, I'm back.
Tomas dažniausiai buvo vienas.	Tom was alone most of the time.
Tomas mėgsta mokytis muzikos.	Tom loves studying music.
Tomas pavogė mano pinigus.	Tom stole my money.
Tomas šiuo metu gyvena su savo dėde.	Tom currently lives with his uncle.
Tomas yra ant stogo.	Tom is on the roof.
Tu esi tas vyras kurio aš visada ieškojau.	You are the man I've been looking for.
Turėsime palaukti kitos dienos.	We'll have to wait for the next day.
Tu turi atsakyti šiuos klausimus.	You must answer these questions.
Yra svarbu mums galvoti apie pasaulio ateitį.	It's important for us to think about the future of the world.
Žiūrėk ką tas kūdikis daro!	See what the baby is doing!
Ar aš turiu likti ligoninėje?	Do I have to stay in the hospital?
Ar esate pasiruošę pradėti savo kelionę?	Are you ready to start your journey?
Ar esi pasiruošęs pradėti savo kelionę?	Are you ready to start your journey?
Ar esi pasiruošusi pradėti savo kelionę?	Are you ready to start your journey?
Ar galiu pasinaudoti tavo telefonu?	Might I use your phone?
Ar jums reikia pagalbos su kažkuo?	Do you need help with something?
Ar jūs matėte mano brolį?	Did you see my brother?
Ar jūs matėte mano mamą?	Did you see my mother?
Ar jūs matėte mano motiną?	Did you see my mother?
Ar matėte mano žmoną?	Have you seen my wife?
Ar nematei mano žmonos?	Have you seen my wife?
Ar tu ieškai darbo?	Are you looking for work?
Ar tu matei mano motiną?	Did you see my mother?
Ar tu myli savo motiną?	Do you love your mother?
Ar tu norėtum ateiti į mano tėvų namą?	Would you like to come to my parents' house?
Ar žinai kur Tomas padėjo raktus?	Do you know where Tom put the keys?
Aš duosiu tau dar vieną šansą.	I'm going to give you one more chance.
Aš matau berniuką.	I see a boy.
Aš myliu jūsų dukrą.	I love your daughter.
Aš myliu savo motiną.	I love my mother.
Aš nekenčiu pasaulio, nes pasaulis nekenčia manęs.	I hate the world because the world hates me.
Aš nemėgstu alaus.	I don't care for beer.
Aš nemėgstu darbo net ir kai kas nors kitas jį daro.	I do not like work even when someone else is doing it.
Aš nemėgstu kavos.	I dislike coffee.
Aš nemėgstu miestą, kuri jis gyvena.	I don't like the city in which he lives.
Aš nemėgstu savo mokyklos.	I don't like my school.
Aš padariau klaidą.	I made a mistake.
Aš pati rasiu savo automobilį.	I'll find my car on my own.
Aš pavargau nuo darbo.	I am tired of my work.
Aš pavargau nuo tokio gyvenimo.	I'm tired of living this kind of life.
Aš radau savo batus.	I found my shoes.
Aš sutinku su jais kad mes turėtume pabandyti dar kartą.	I agree with them that we should try again.
Aš turiu daug namų darbų.	I have a lot of homework.
Aš turiu dukrą.	I have a daughter.
Berniukas nukrito nuo lovos.	The boy fell off the bed.
Be vandens, mes negalime išgyventi.	Without water, we can not survive.
Bosas pasakė kad mes esame atleisti.	The boss said that we are fired.
Dar nėra naujos informacijos.	There's no new information yet.
Duosiu jam dar vieną šansą.	I will give him another chance.
Filmas tuoj prasidės.	The movie's about to start.
Galbūt jis turi daug merginų.	Maybe he has lots of girlfriends.
Įsivaizduok kad tu turi laiko mašiną.	Imagine that you have a time machine.
Iš kur tu turi visus tuos raktus?	Where did you get all those keys?
Jai ta vieta nepatiko.	She didn't like that place.
Ji dirba ligoninėje.	She works for a hospital.
Jie sako kad jis tuo metu buvo ligoninėje.	They say that he was in the hospital at that time.
Ji rašo jam kiekvieną savaitę.	She writes to him every week.
Jis bijo jūros.	He's afraid of the sea.
Jis davė mums signalą pradėti.	He gave us the signal to begin.
Jis kartais ateina aplankyti mano sūnų.	He comes to see my son now and then.
Jis mano bosas.	He is my boss.
Jis padarė klaidą.	He made a mistake.
Jis turėjo likti lovoje.	He had to stay in bed.
Jos sūnus yra genijus.	Her son is a genius.
Kadangi aš neturiu pinigų, aš negaliu ten atvykti.	Since I have no money, I can't come there.
Kodėl? Todėl kad jo šeimai reikėjo pinigų, štai kodėl.	Why? Because his family needed the money, that's why.
Kodėl tu nenori mums pasakyti tiesos?	Why don't you want to tell us the truth?
Kokio darbo tu ieškai?	What kind of job are you looking for?
Kokios informacijos tu ieškai?	What kind of information are you looking for?
Kurios moters sūnus serga?	Which woman's son is sick?
Kur jūs matėte šią moterį?	Where did you see the woman?
leiskite pristatyti mano žmoną.	Let me introduce my wife.
Mama, pažiūrėkite, ką aš radau.	Mom, look what I found.
Mano kalba yra labai sudėtinga.	My language is very complicated.
Mano tėvas turi restoraną.	My father has a restaurant.
Neblogai, bet aš truputį pavargau.	Not bad, but I'm a bit tired.
Nemėgstu mokyklos.	I don't like school.
Ne tik tu, bet jis irgi nežino tiesos.	Not only you but also he is ignorant of the truth.
Noriu išgirsti apie tavo kelionę!	I want to hear about your trip!
O Dieve, aš negaliu šituo patikėti.	Oh my God, I can't believe this.
Prašau, duok man dar vieną šansą.	Please give me another chance.
Prašau išjunk šviesą.	Turn off the light, please.
Prašome palaukti penkias minutes.	Please wait for five minutes.
Prašome palaukti pusę valandos.	Please wait half an hour.
Radau raktą kurio ieškojau.	I found the key I was looking for.
