Tai viskas.	That is all.
Labas, mano mielasis.	Hello, my dear.
Neįmanoma.	Impossible.
Nėra gražu šitaip kalbėti.	It's not nice to talk like that.
Nesijaudink. Aš tą padarysiu.	Don't worry. I'll do it.
Nesuprantu, kaip tu gali taip sakyti.	I don't understand how you can say that.
Padarysiu tą vėliau.	I'll do it later on.
Padarysiu viską, tik ne tai.	I will do anything but that.
Prašau išeiti.	Please leave.
Prašau palauk kol aš grįšiu.	Please wait until I come back.
Šiandien aš jaučiuosi daug geriau nei vakar.	I'm much better today than yesterday.
Šis berniukas yra jo brolis.	This boy is his brother.
Stok!	Stop!
Su kuo aš kalbu?	With whom am I speaking?
Tai bent istorija.	That's quite a story.
Tai beveik neįmanoma.	It is next to impossible.
Tai buvo geriausia mano gyvenimo diena.	That was the best day of my life.
Tai buvo neįmanoma.	It was impossible.
Tai juokinga!	It's funny!
Tai labai juokinga istorija!	This is a very funny story!
Tai mano tėvo.	This is my father's.
Tai neįmanoma.	That's impossible.
Tai visiškai neįmanoma.	It is absolutely impossible.
Tas berniukas yra jo brolis.	That boy is his brother.
Tau negalima iš čia išeiti.	You are not allowed to leave here.
Tu negali tiesiog išeiti.	You can't just leave.
Tu turi tuoj pat išeiti.	You need to leave right now.
Velniop su jais.	To hell with them.
Žiūrėk į mane kai su tavimi kalbu!	Look at me when I talk to you!
Abu jos sūnus mirė karo metu.	Both of her sons died during the war.
Ak, ačiū, mano brangusis.	Ah, thank you, my dear.
Ar kas nors žino kiek dabar valandų?	Does anybody know what hour it is?
Ar nežinai kelio?	Do you know the way?
Ar norėtum turėti daug pinigų?	Would you like to have lots of money?
Aš jau čia dvi valandas.	I've already been here two hours.
Aš negaliu to leisti.	I can't allow that.
Aš nelabai suprantu ką tu nori pasakyti.	I don't really understand what you want to say.
Aš nenoriu dabar mirti.	I don't want to die now.
Aš neturiu maisto.	I have no food.
Aš nežinojau ką pasakyti.	I didn't know what to say.
Aš noriu kad tu manęs norėtum.	I want you to want me.
Aš noriu tai turėti.	I want to have it.
Aš prisiekiu, Džonai.	I swear, John.
Aš tą darau be jokių problemų.	I do it without any problems.
Aš žinau jo vardą.	I know what his name is.
Ateik čionai.	Come here.
Atsiprašau, kiek dabar valandų?	Excuse me, what time is it?
Būtų nuostabu jei mes galėtume susitikti dar kartą.	It would be great if we could meet again.
Esu tikra kad jis ateis.	I'm sure he will come.
Esu tikras kad jis ateis.	I'm sure he will come.
Gaila kad tu to nežinai.	It's a pity that you don't know that.
Galbūt jis ateis.	Perhaps he will come.
Gal jis ateis.	Perhaps he will come.
Geras klausimas.	Good question!
Gyvenimas yra gražus.	Life is beautiful.
Ji daug dirba.	She works a lot.
Ji dirba visą naktį.	She works all night.
Jie viduje.	They're inside.
Ji paliko savo vaikus.	She left her children.
Jis ateis.	He will come.
Jis buvo labai senas.	He was very old.
Jis jai per senas.	He's too old for her.
Jis jį nužudė.	He killed him.
Jis nebuvo toks gražus kaip ji man sakė.	He wasn't as handsome as she told me.
Jis nieko nežino.	He doesn't know anything.
Jis paliko pinigus namie.	He left the money at home.
Jis paliko prieš valandą.	He left an hour ago.
Jis yra gražus kaip dievas!	He is beautiful like a god!
Jis yra senas.	He is old.
Jūs turite pradėti gyvenimą iš naujo.	You should make a fresh start in life.
Kada norėtum jį pamatyti?	When would you like to see him?
Kaip jūs norite mirti?	How do you want to die?
Kaip miela!	How cute!
Kaip tu nori mirti?	How do you want to die?
Kas nors naujo?	Anything new?
Kiek kartų aš turiu tau sakyti?	How many times do I have to tell you?
Kodėl tu nori mirti?	Why do you want to die?
Kokia puiki šeima.	What a wonderful family.
Koks klausimas! Žinoma kad aš ją myliu.	What a question! Of course I love her.
Koks klausimas! Žinoma kad aš jį myliu.	What a question! Of course I love him.
Kuris yra senas?	Which one is old?
Kur skauda?	Where does it hurt?
Labas, mano brangusis.	Hello, my dear.
Laikas mirti.	Time to die.
Laikykis.	Take care.
Mano tėvas nėra toks senas kaip jis atrodo.	My father is not as old as he looks.
Man skauda ranką.	My arm hurts.
Man tas pats ar jis ateis ar ne.	It makes no difference to me whether he comes or not.
Man visur skauda.	I ache all over.
Mažiau yra daugiau.	Less is more.
Mūsų sūnus mirė karo metu.	Our son died during the war.
Neblogai.	Not bad.
Nežinau, kuris iš jūsų dviejų atėjo pirmas.	I don't know which of you came first.
Niekas nenori karo.	Nobody wants a war.
Niekas nežino, ar jis ją myli ar ne.	No one knows if he loves her or not.
Niekas nežino kodėl.	Nobody knows why.
Niekas nežino.	Nobody knows.
Niekas pasaulyje nenori karo.	Nobody in the world wants war.
Niekas to nežino.	Nobody knows.
Noriu sužinoti kur tu dabar esi.	I want to know where you are now.
Nuostabu su jumis susitikti.	It's great to meet you.
Nuostabu su tavimi susitikti.	It's great to meet you.
Paleisk mane!	Let me go!
Palik mane vieną!	Leave me alone!
Parodyk man kaip tai veikia.	Show me how it works.
Parodyk man kur tau skauda.	Show me where it hurts you.
Pasakyk man savo vardą.	Tell me your name.
Pas mane baigėsi pinigai.	I have run out of money.
Prašau paleisk mane.	Please let me go.
Puiki mintis.	That's a brilliant idea.
Puiku su jumis susitikti.	It's great to meet you.
Puiku su tavimi susitikti.	It's great to meet you.
Šiandien įvyko kai kas labai gero.	A very good thing happened today.
Šiandien yra gera diena mirti.	Today is a good day to die.
Tai įvyko labai seniai.	It happened a long time ago.
Tai ne aš, aš prisiekiu!	It's not me, I swear!
Tai nebuvo mano klausimas.	That wasn't my question.
Tai puiki mintis.	That's a brilliant idea.
Tai yra puiki mintis.	That's a brilliant idea.
Tėvas dirba.	The father works.
Tiesą sakant, aš nenoriu su jais eiti.	To tell the truth, I don't want to go with them.
Tu nežinai ką jis man pasakė.	You don't know what he told me.
Tu nežinai kas aš esu.	You don't know who I am.
Tu nežinai kas tai, ar ne?	You don't know what it is, do you?
Tu nežinai ką toliau daryti, ar ne?	You don't know what to do next, do you?
Turbūt esu per senas.	I may be too old.
Tu turi pradėti savo gyvenimą iš naujo.	You should make a fresh start in life.
Tu žinai kad aš noriu tą sužinoti.	You know I want to know it.
Vyrai nieko nežino apie moteris.	Men know nothing about women.
Yra tik viena problema.	There's just one problem.
Ačiū Dievui.	Thank God.
Apie ką galvoji?	What are you thinking about?
Apie ką tu galvoji?	What are you thinking about?
Ar galėtum šitą padaryti vietoj manęs?	Could you do this instead of me?
Ar gali man parodyti?	Can you show me?
Ar galite man parodyti?	Can you show me?
Ar galiu jūsų kai ko paklausti?	May I ask you something?
Ar galiu tavęs kai ko paklausti?	May I ask you something?
Argi ne nuostabus rytas?	Isn't it a lovely morning?
Ar girdėjai apie tą kas įvyko vakar naktį?	Did you hear about what happened last night?
Ar pameni?	Do you remember?
Ar pameni ką ji pasakė?	Do you remember what she said?
Ar pameni kokia ji buvo?	Do you remember what she was like?
Ar pameni mus?	Do you remember us?
Ar tai meilė?	Is that love?
Ar tai panašu į tą ką jis padarė vakar?	Is it similar to what he did yesterday?
Ar tai yra meilė?	Is this love?
Ar tai yra tas ko tu norėjai?	Is this what you wanted?
Ar tu mane pameni?	Do you remember me?
Aš čia dirbu.	I work here.
Aš galvoju apie ką kitą.	I'm thinking about something else.
Aš galvoju apie tave.	I'm thinking of you.
Aš labai apgailestauju dėl to, ką pasakiau.	I am very sorry for what I said.
Aš nekenčiu jos, bet nežinau kodėl.	I hate her, but I don't know why.
Aš nemačiau jo kelias dienas.	I haven't seen him in a few days.
Aš nežinau ko tu nori ir man tai nerūpi.	I don't know what you want and I don't care.
Aš niekada nemačiau namo be durų.	I've never seen a house without a door.
Aš pamaniau kad tu mano brolis.	I mistook you for your brother.
Aš prisiekiu aš nieko nemačiau.	I swear I didn't see anything.
Aš savęs nekenčiu ir aš noriu mirti.	I hate myself and I want to die.
Aš turėčiau paklausti ar ne?	I should ask, shouldn't I?
Aš turiu namą.	I have a house.
Aš vis dar apie tą galvoju.	I'm still thinking about it.
Ateik rytoj ryte.	Come tomorrow morning.
Atsiprašau, aš negaliu ilgai likti.	I'm sorry, I can't stay long.
Dabar tai mūsų namai.	This is now our home.
Eik ir atidaryk duris.	Go and open the door.
Galvoji, kad man tai nerūpi?	Do you think I don't care?
Greitai grįžk.	Hurry back.
Grįžk į savo vietą.	Return to your seat.
Grįžk namo.	Come home.
Grįžk vėliau.	Come back later.
Jaučiu kad jis yra teisus.	I have a feeling he is right.
Jis ateina čia du kartus per savaitę.	He comes here twice a week.
Jos dukra yra labai graži.	Her daughter is very pretty.
Kadangi tai yra svarbu, aš tą padarysiu.	Since it's important, I'll do it.
Kaip sekasi jūsų dukra?	How is your daughter?
Kaip sekasi tavo dukra?	How is your daughter?
Ką veiki?	What are you doing?
Kodėl tu galvoji kad aš galvoju apie tave?	Why do you think I'm thinking about you?
Kodėl tu norėjai mane pamatyti?	Why did you want to see me?
Kodėl tu nori žinoti ką aš galvoju?	Why do you want to know what I'm thinking?
Kokio jūs turite maisto?	What kind of food do you have?
Kuo daugiau apie tai galvoju, tuo mažiau man tai patinka.	The more I think about it, the less I like it.
Kur mano tėvai?	Where are my parents?
Labas rytas, ponios ir ponai!	Good morning, ladies and gentlemen!
Labas vakaras.	Good evening.
Labas vakaras, kaip sekasi?	Good evening, how are you?
Labas vakaras, ponios ir ponai.	Good evening, ladies and gentlemen.
Leisk tavęs kai ko paklausti.	Let me ask you something.
Man jis nerūpi.	I don't care for him.
Man nerūpi ar jis ateis ar ne.	It makes no difference to me whether he comes or not.
Man nerūpi.	I don't care.
Man nerūpi ką jie sako.	I don't care what they say.
Man nerūpi ką tavo motina pasakė.	I don't care what your mother said.
Man nerūpi ką tu darai.	I don't care what you do.
Mano namai yra tavo namai.	My home is your home.
Mano tėvai yra sveiki.	My parents are healthy.
Man skauda galva.	I have a headache.
Mergaitė nori žinoti tiesą.	The girl wants to know the truth.
Nekenčiu šito darbo.	I hate this job.
Nesąmonė!	Nonsense!
Nesu tikra ar tai berniukas ar mergaitė.	I'm not sure if it's a boy or a girl.
Nesu tikras ar tai berniukas ar mergaitė.	I'm not sure if it's a boy or a girl.
Netgi aš negaliu tuo patikėti.	Even I can't believe that.
Netgi aš nesuprantu.	Even I don't understand.
Nusiramink.	Calm down.
Nusiramink, sūnau.	Calm down, son.
Šiandien turėtum likti namie.	You should stay at home today.
Šie namai nėra mano.	This house is not mine.
Tai aš, atidaryk duris.	It's me, open the door.
Tai ne tai, ką tu galvoji!	It's not what you think!
Tai visai nėra panašu.	It's not similar at all.
Tai viskas, ko aš galiu paklausti.	That's all I can ask.
Tai yra mano tėvo namai.	It is my father's house.
Tai yra panašu.	It's similar.
Ta mergaitė apie kurią aš tau sakiau gyvena čia.	The girl I told you about lives here.
Viskas ką girdėjai yra tiesa.	Everything you've heard is true.
Ar gali šitą paimti?	Can you take this?
Ar ji dirba šiame mieste?	Does she work in this city?
Ar nori pasilikti čia su mumis?	Don't you want to stay here with us?
Ar tu žinai ar jis turi merginą?	Do you know if he has a girlfriend?
Aš bandau.	I try.
Aš bandau kai ką naujo.	I'm trying something new.
Aš bandau suprasti.	I'm trying to understand.
Aš buvau beveik miręs.	I almost died.
Aš čia turiu daug draugų.	I have a lot of friends here.
Aš gerai ją pažįstu.	I know her well.
Aš manau, kad yra šaunu, kad tu gavai tą darbą.	I think it's great that you got that job.
Aš negalėjau rasti jo namo.	I couldn't find his house.
Aš negalėjau suprasti ką jis sakė.	I couldn't understand what he was saying.
Aš nemanau kad mes turėtume tą daryti.	I don't think we should do that.
Aš noriu gyventi mieste.	I want to live in the city.
Aš pažadu kad būsiu čia rytoj.	I promise that I'll be here tomorrow.
Aš pažįstu jį gana gerai.	I know him quite well.
Aš pažįstu tą merginą.	I know that girl.
Aš tau parodysiu, kad aš esu teisus.	I'll show you that I am right.
Aš tau parodysiu savo kambarį.	I'll show you my room.
Aš tuoj pat jai paskambinsiu.	I'll call her immediately.
Aš turiu daug draugų.	I have many friends.
Aš žinau kad tai nėra lengva.	I know it's not easy.
Ateik ir aš tau parodysiu kas aš esu.	Come and I'll show you who I am.
Daryk, kaip nori.	Do as you want.
Dėl Dievo meilės niekam to nesakyk.	For God's sake don't tell it to anyone.
Duok man dvi minutes.	Give me two minutes.
Eikš čia. Aš kai ką tau parodysiu.	Come here. I'll show you something.
Gerai, mano brangioji, labanakt!	OK, my dear, good night!
Gerai, mano brangusis, labanakt!	OK, my dear, good night!
Gerai, mano mielasis, labanakt!	OK, my dear, good night!
Gerai, mano mieloji, labanakt!	OK, my dear, good night!
Grįšiu po valandos.	I'll be back in an hour.
Gyvenimas prasideda tada kada tu esi pasiruošęs jį gyventi.	Life begins when you're ready to live it.
Iš pradžių, aš negalėjau suprasti ką jis sakė.	At first, I couldn't figure out what he was saying.
Jeigu tu esi čia, reiškia tau rūpi.	If you are here, it means you care.
Jei tu nesi su mumis, tada tu esi prieš mus.	If you're not with us then you're against us.
Jei tu neturi ką pasakyti, tada nieko nesakyk.	If you don't have anything to say, don't say anything.
Jei tu nori pasilikti, gali pasilikti.	If you want to stay, you can stay.
Ji čia turi daug draugų.	She has a lot of friends here.
Jiems reikia draugų.	They need friends.
Ji myli kitą vyrą.	She's in love with another man.
Jis nėra kvailas.	He's not stupid.
Juokauji !?	Are you kidding?
Kaip tu žinai kad jis jau miręs?	How do you know that he's already dead?
Kas dedasi?	What is happening?
Kiek ilgai gali pasilikti?	How long can you stay?
Kiek ilgai galite pasilikti?	How long can you stay?
Kodėl tai darai, Tomai?	Why are you doing that, Tom?
Kodėl tu visada esi tokia bloga?	Why are you always so evil?
Kokia nuostabi mašina!	What a wonderful machine!
Kokia nuostabi šeima.	What a wonderful family.
Kuriuo metu jis išėjo?	At what time did he leave?
Lik čia.	Stay there.
Lik kur esi.	Stay where you are.
Manai kad esu kvaila?	Do you think I'm stupid?
Manai kad esu kvailas?	Do you think I'm stupid?
Man į galvą atėjo kvaila mintis.	A foolish idea came into my mind.
Man nerūpi kas tu esi, man rūpi ką tu darai.	I don't care who you are, I care about what you do.
Man pasisekė tai pamatyti.	I was fortunate to see that.
Man skauda ranka.	My arm hurts.
Mes esame geri draugai.	We are good friends.
Mes seni draugai.	We're old friends.
Mes turėtume padaryti ką nors tokio.	We should make something like that.
Mums nebuvo lengva rasti jo namus.	It was not easy for us to find his house.
Ne, jis nėra naujas mano vaikinas.	No, he's not my new boyfriend.
Nesakyk, daryk.	Don't say, do.
Ne, tai nėra mano naujas vaikinas.	No, he's not my new boyfriend.
Niekam nieko nesakyk.	Don't say anything to anybody.
Nieko nesakyk.	Don't say anything.
Nurimk.	Calm down.
Palauk minutėlę. Aš noriu tau kažką pasakyti.	Wait a minute. I want to tell you something.
Palauk minutėlę.	Wait a moment.
Pasitrauk.	Step aside.
Paskambinsiu jiems rytoj, kai grįšiu namo.	I’ll call them tomorrow when I return home.
Prašau palauk pusę valandos.	Please wait half an hour.
Puiku turėti šeimą.	It's great to have a family.
Šaunu turėti šeimą.	It's great to have a family.
Sveikas, Tomai. Labas rytas.	Hello, Tom. Good morning.
Tai bus lengva.	This is going to be easy.
Tai lengva.	It's easy.
Tai nėra taip lengva kaip tu galvoji.	It's not as easy as you think.
Tai nėra taip lengva kaip tu manai.	It's not as easy as you think.
Tai prakeikimas.	It is a curse.
Tavo planas skamba puikiai.	Your plan sounds great.
Tikiu tavimi.	I believe you.
Tomai, aš namie.	Tom, I'm home.
Tu juokauji!	You're kidding!
Tu tikrai nesi kvailas.	You're really not stupid.
